step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
197,11.5626142045,-0.0754507334,0.9984604501,100.000000,0.54628571,0.0000024759,0.0819663540
199,11.6231159946,-0.0695724601,0.9984429476,100.000000,0.54628571,0.0000017924,0.0819473387
201,11.7462716485,-0.0602290737,0.9984265813,100.000000,0.54628571,0.0000010607,0.0819244796
203,11.9663304771,-0.0469994218,0.9984113207,100.000000,0.54628571,0.0000004597,0.0818967871
205,12.3025673306,-0.0301816887,0.9983971374,100.000000,0.54628571,0.0000001554,0.0818628496
207,12.7390791614,-0.0110717036,0.9983840065,100.000000,0.54628571,0.0000002845,0.0818219714
209,13.2123860608,0.0081180960,0.9983719039,100.000000,0.54628571,0.0000009128,0.0817752836
211,13.6243800359,0.0248489329,0.9983608040,100.000000,0.54628571,0.0000019370,0.0817259895
213,13.8837326020,0.0371979886,0.9983506778,100.000000,0.54628571,0.0000029715,0.0816779198
215,13.9510228800,0.0446670286,0.9983414928,100.000000,0.54628571,0.0000034343,0.0816331853
217,13.8531121903,0.0483123191,0.9983332136,100.000000,0.54628571,0.0000029672,0.0815913146
219,13.6567909890,0.0500277430,0.9983258041,100.000000,0.54628571,0.0000018780,0.0815516207
221,13.4253974468,0.0514259860,0.9983192284,100.000000,0.54628571,0.0000010358,0.0815182096
223,13.1916807689,0.0530971493,0.9983134523,100.000000,0.54628571,0.0000011758,0.0815055373
225,12.9599952363,0.0547137215,0.9983084430,100.000000,0.54628571,0.0000022962,0.0815609330
227,12.7234861131,0.0557285782,0.9983041698,100.000000,0.54628571,0.0000037283,0.0821946971
229,12.4753992822,0.0559630838,0.9983006032,100.000000,0.54628571,0.0000047103,0.0830464667
231,12.2103251118,0.0556317238,0.9982977147,100.000000,0.54628571,0.0000048740,0.0839039788
233,11.9248996040,0.0549807482,0.9982954748,100.000000,0.54628571,0.0000042930,0.0846254831
235,11.6219282657,0.0540326270,0.9982938518,100.000000,0.54628571,0.0000032311,0.0852908425
237,11.3115568464,0.0526596704,0.9982928119,100.000000,0.54628571,0.0000019706,0.0857320723
239,11.0056492912,0.0507858064,0.9982923196,100.000000,0.54628571,0.0000008683,0.0859928160
241,10.7109768707,0.0484501731,0.9982923388,100.000000,0.54628571,0.0000003835,0.0861096934
243,10.4278501803,0.0457267797,0.9982928332,100.000000,0.54628571,0.0000008089,0.0862565490
245,10.1535833203,0.0426628307,0.9982937689,100.000000,0.54628571,0.0000019031,0.0863433582
247,9.8859530022,0.0392983775,0.9982951176,100.000000,0.54628571,0.0000029433,0.0863376393
249,9.6242077454,0.0356899006,0.9982968648,100.000000,0.54628571,0.0000032969,0.0862915645
251,9.3685092124,0.0318862672,0.9982990247,100.000000,0.54628571,0.0000029352,0.0862212637
253,9.1192079040,0.0279017905,0.9983016668,100.000000,0.54628571,0.0000023500,0.0861329431
255,8.8765035948,0.0237305081,0.9983049570,100.000000,0.54628571,0.0000020330,0.0860438002
257,8.6405950180,0.0193771318,0.9983092145,100.000000,0.54628571,0.0000020978,0.0859760052
259,8.4122765092,0.0148654029,0.9983149762,100.000000,0.54628571,0.0000023490,0.0859369432
261,8.1935935447,0.0102270108,0.9983230529,100.000000,0.54628571,0.0000025881,0.0859128766
263,7.9879747393,0.0054933549,0.9983345535,100.000000,0.54628571,0.0000027726,0.0858827805
265,7.7997525667,0.0006939086,0.9983508541,100.000000,0.54628571,0.0000029164,0.0858348176
267,7.6336749885,-0.0041454947,0.9983735056,100.000000,0.54628571,0.0000029552,0.0857700836
269,7.4949170452,-0.0090033046,0.9984040876,100.000000,0.54628571,0.0000027947,0.0856970615
271,7.3893074940,-0.0138592249,0.9984440327,100.000000,0.54628571,0.0000024712,0.0856275482
